First_name,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Total_Fights,Win_Percentage
John,Lineker,Hands of Stone,160.02,135,67,right-handed,31,8,0,39,0.794871795
Lucio,Linhares, ,187.96,185,NA,right-handed,15,7,0,22,0.681818182
Dean,Lister,The Boogeyman,185.42,185,75,right-handed,11,7,0,18,0.611111111
Brian,Lo-A-Njoe, ,170.18,155,NA,right-handed,6,9,3,18,0.416666667
John,Lober,The Machine,180.34,199,NA,right-handed,5,9,4,18,0.388888889
Sean,Loeffler,The Destroyer,190.5,185,NA,right-handed,25,5,0,30,0.833333333
David,Loiseau,The Crow,182.88,185,76,right-handed,20,10,0,30,0.666666667
Thomas,Longacre, ,175.26,145,NA,right-handed,6,1,0,7,0.857142857
Steve,Lopez, ,180.34,155,NA,right-handed,12,6,1,19,0.657894737
Federico,Lopez,Kiko,162.56,139,NA,right-handed,5,5,0,10,0.5
Jorge,Lopez, ,177.8,170,NA,right-handed,11,3,0,14,0.785714286
Nate,Loughran, ,187.96,185,NA,right-handed,9,1,0,10,0.9
Ian,Loveland,The Barn Owl,172.72,145,NA,right-handed,14,9,0,23,0.608695652
Jakob,Lovstad,The Striking Viking,190.5,205,NA,right-handed,11,4,0,15,0.733333333
Joe,Lowry, ,177.8,155,72,right-handed,8,1,0,9,0.888888889
Duane,Ludwig,Bang,177.8,170,70,right-handed,29,14,0,43,0.674418605
Mike,Lullo, ,172.72,145,NA,right-handed,8,3,0,11,0.727272727
Alexandru,Lungu, ,182.88,385,NA,right-handed,8,2,0,10,0.8
Vicente,Luque,The Silent Assassin,180.34,170,75,right-handed,14,6,1,21,0.69047619
Travis,Lutter,The Serial Killer,180.34,185,75,right-handed,10,6,0,16,0.625
Stevie,Lynch, ,177.8,170,NA,right-handed,5,2,0,7,0.714285714
Adam,Lynn, ,177.8,155,NA,right-handed,17,8,0,25,0.68
Chris,Lytle,Lights Out,180.34,170,68,right-handed,31,18,5,54,0.62037037
William,Patolino,Patolino,180.34,170,75,right-handed,8,3,0,11,0.727272727
Jason,MacDonald,The Athlete,190.5,185,80,right-handed,26,16,0,42,0.619047619
Rob,MacDonald,Maximus,190.5,205,78,right-handed,5,4,0,9,0.555555556
Rory,MacDonald,Red King,182.88,170,76,right-handed,18,4,0,22,0.818181818
Jon,Koppenhaver,War Machine,180.34,170,NA,right-handed,11,4,0,15,0.733333333
Reza,Madadi,Mad Dog,180.34,155,72,right-handed,14,6,0,20,0.7
Ryan,Madigan, ,182.88,170,NA,right-handed,5,3,0,8,0.625
Jon,Madsen, ,182.88,240,72,right-handed,7,1,0,8,0.875
Leonardo,Mafra,Macarrao,177.8,155,70,right-handed,12,3,0,15,0.8
Vinny,Magalhaes,Pezao,190.5,205,79,right-handed,11,7,0,18,0.611111111
Caio,Magalhaes,Hellboy,185.42,185,73,right-handed,9,3,0,12,0.75
Bernardo,Magalhaes,Trekko,175.26,155,65,right-handed,11,3,0,14,0.785714286
Brandon,Magana, ,NA,170,NA,right-handed,6,2,0,8,0.75
Neil,Magny, ,190.5,170,80,right-handed,21,8,0,29,0.724137931
Ibragim,Magomedov, ,182.88,250,NA,right-handed,22,7,1,30,0.75
Rashid,Magomedov,Goretz,175.26,155,70,right-handed,20,2,0,22,0.909090909
Ruslan,Magomedov,Leopard,190.5,242,78,right-handed,14,1,0,15,0.933333333
Zabit,Magomedsharipov, ,185.42,145,73,right-handed,16,1,0,17,0.941176471
Bill,Mahood,The Butcher,190.5,200,NA,right-handed,20,7,1,28,0.732142857
Jennifer,Maia, ,162.56,125,64,right-handed,15,5,1,21,0.738095238
Levan,Makashvili,The Hornet,172.72,145,68,right-handed,10,2,1,13,0.807692308
John,Makdessi,The Bull,172.72,155,68,right-handed,16,6,0,22,0.727272727
Islam,Makhachev, ,177.8,155,70,right-handed,16,1,0,17,0.941176471
Fabio,Maldonado,Caipira de Aco,185.42,205,75,right-handed,22,9,0,31,0.709677419
Carl,Malenko, ,180.34,200,NA,right-handed,6,4,0,10,0.6
Troy,Mandaloniz,Rude Boy,175.26,170,NA,right-handed,3,2,0,5,0.6
Melvin,Manhoef,Marvelous,175.26,185,NA,right-handed,25,9,1,35,0.728571429
Jon,Manley, ,185.42,170,75,right-handed,7,3,0,10,0.7
Chris,Manuel, ,175.26,135,NA,right-handed,8,3,2,13,0.692307692
Jimi,Manuwa,Poster Boy,185.42,205,79,right-handed,17,5,0,22,0.772727273
Cristiano,Marcello, ,175.26,155,72,right-handed,13,6,0,19,0.684210526
Jose,Maria,No Chance,165.1,125,NA,right-handed,33,5,0,38,0.868421053
Ronny,Markes, ,185.42,185,75,right-handed,14,3,0,17,0.823529412
Rory,Markham, ,182.88,170,71,right-handed,16,6,0,22,0.727272727
Randa,Markos,Quiet Storm,162.56,115,63,right-handed,8,7,1,16,0.53125
Christina,Marks, ,170.18,125,69,right-handed,8,9,0,17,0.470588235
Nate,Marquardt,The Great,182.88,185,74,right-handed,38,19,2,59,0.661016949
Julian,Marquez,The Cuban Missle Crisis,187.96,185,75,right-handed,7,2,0,9,0.777777778
